pair_gender,pair_race,FA_gender,LA_gender,FA_race,LA_race,JIF,year,num_citations,log_num_citations,citation_rate,log_citation_rate,WC,num_cited_refs,WC_1st,Country,global_north,article_id
MM,NN,M,M,N,N,9,2000,6,1.791759469228055,0.25,-1.3862943611198906,Multidisciplinary Sciences,64,Multidisciplinary Sciences,spain,1,131022
MM,WW,M,M,W,W,8,2000,23,3.1354942159291497,0.9583333333333334,-0.04255961441879589,"Physics, Multidisciplinary",28,"Physics, Multidisciplinary",germany,1,34154
WW,WW,W,W,W,W,4,2000,6,1.791759469228055,0.25,-1.3862943611198906,Pharmacology & Pharmacy; Virology,60,Pharmacology & Pharmacy,australia,1,103057
MM,WW,M,M,W,W,16,2000,7,1.9459101490553132,0.2916666666666667,-1.2321436812926323,Ecology; Evolutionary Biology; Genetics & Heredity,42,Ecology,canada,1,21665
MM,WW,M,M,W,W,9,2000,16,2.772588722239781,0.6666666666666666,-0.4054651081081645,Multidisciplinary Sciences,36,Multidisciplinary Sciences,usa,1,36964
MM,NN,M,M,N,N,2,2000,25,3.218875824868201,1.0416666666666667,0.0408219945202552,"Public, Environmental & Occupational Health",31,"Public, Environmental & Occupational Health",brazil,0,71732
WW,WW,W,W,W,W,7,2000,4,1.3862943611198906,0.16666666666666666,-1.791759469228055,Immunology; Infectious Diseases,30,Immunology,netherlands,1,76367
MM,WW,M,M,W,W,50,2000,19,2.9444389791664403,0.7916666666666666,-0.2336148511815052,Multidisciplinary Sciences,45,Multidisciplinary Sciences,usa,1,17663
MM,WW,M,M,W,W,50,2000,43,3.7612001156935624,1.7916666666666667,0.5831462853456169,Multidisciplinary Sciences,7,Multidisciplinary Sciences,usa,1,17901
MM,NN,M,M,N,N,6,2000,7,1.9459101490553132,0.2916666666666667,-1.2321436812926323,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",34,Economics,canada,1,143335
MW,NN,M,W,N,N,6,2000,26,3.258096538021482,1.0833333333333333,0.08004270767353636,"Public, Environmental & Occupational Health",37,"Public, Environmental & Occupational Health",usa,1,16910
WM,NW,W,M,N,W,44,2000,39,3.6635616461296463,1.625,0.4855078157817008,Multidisciplinary Sciences,24,Multidisciplinary Sciences,usa,1,44820
MM,WW,M,M,W,W,1,2000,14,2.6390573296152584,0.5833333333333334,-0.5389965007326869,"Computer Science, Theory & Methods; Statistics & Probability",29,"Computer Science, Theory & Methods",united kingdom (great britain),1,43764
MM,WW,M,M,W,W,2,2000,11,2.3978952727983707,0.4583333333333333,-0.7801585575495751,Parasitology,18,Parasitology,israel,1,88551
MM,WW,M,M,W,W,2,2000,17,2.833213344056216,0.7083333333333334,-0.3448404862917295,Ecology,35,Ecology,greece,1,33873
WM,WW,W,M,W,W,5,2000,7,1.9459101490553132,0.2916666666666667,-1.2321436812926323,Biology,25,Biology,united kingdom (great britain),1,115871
MM,WW,M,M,W,W,2,2000,18,2.8903717578961645,0.75,-0.2876820724517809,Biology; Mathematical & Computational Biology,26,Biology,germany,1,17095
MM,WW,M,M,W,W,2,2000,23,3.1354942159291497,0.9583333333333334,-0.04255961441879589,Entomology; Veterinary Sciences,64,Entomology,usa,1,24625
MW,WW,M,W,W,W,3,2000,6,1.791759469228055,0.25,-1.3862943611198906,Biology; Ecology; Evolutionary Biology,46,Biology,united kingdom (great britain),1,77502
MW,WW,M,W,W,W,2,2000,32,3.4657359027997265,1.3333333333333333,0.28768207245178085,Ecology; Evolutionary Biology,55,Ecology,switzerland,1,15973
MM,WN,M,M,W,N,7,2000,18,2.8903717578961645,0.75,-0.2876820724517809,"Public, Environmental & Occupational Health",16,"Public, Environmental & Occupational Health",india,0,17476
MM,WW,M,M,W,W,9,2000,9,2.1972245773362196,0.375,-0.9808292530117262,Multidisciplinary Sciences,32,Multidisciplinary Sciences,usa,1,90476
MM,WW,M,M,W,W,2,2000,6,1.791759469228055,0.25,-1.3862943611198906,Immunology; Infectious Diseases; Pediatrics,21,Immunology,usa,1,89923
MM,WW,M,M,W,W,1,2000,19,2.9444389791664403,0.7916666666666666,-0.2336148511815052,Statistics & Probability,22,Statistics & Probability,united kingdom (great britain),1,90499
MM,WW,M,M,W,W,50,2000,6,1.791759469228055,0.25,-1.3862943611198906,Multidisciplinary Sciences,41,Multidisciplinary Sciences,usa,1,28894
MM,WW,M,M,W,W,2,2000,6,1.791759469228055,0.25,-1.3862943611198906,Evolutionary Biology,57,Evolutionary Biology,canada,1,111169
MM,WW,M,M,W,W,44,2000,6,1.791759469228055,0.25,-1.3862943611198906,Multidisciplinary Sciences,23,Multidisciplinary Sciences,usa,1,17166
MM,WW,M,M,W,W,35,2000,42,3.737669618283368,1.75,0.5596157879354227,"Physics, Condensed Matter",432,"Physics, Condensed Matter",germany,1,17826
MM,WW,M,M,W,W,10,2000,1465,7.289610521451167,61.041666666666664,4.111556691103222,"Mathematics, Applied",202,"Mathematics, Applied",usa,1,15088
